indexList,ID,Occ_CY,Occ_PY,Occ_Chg,ADR_CY,ADR_PY,ADR_Chg,RevPAR_CY,RevPAR_PY,RevPAR_Chg,Day,Month,Year,UOM,Date
289,O‘ahu Upper Midscale,0.853510664,0.854325425,-0.000814762,143.8149058,151.5695352,-0.05116219,122.75,129.49,-0.052050351,30,9,2017,MTD,9/30/2017
290,O‘ahu Midscale & Economy,0.812501849,0.815486021,-0.002984171,125.4467287,139.984403,-0.103852101,101.93,114.16,-0.107130343,30,9,2017,MTD,9/30/2017
291,Maui County,0.736293894,0.730473717,0.005820177,279.2468465,271.4656543,0.028663634,205.61,198.3,0.036863338,30,9,2017,MTD,9/30/2017
292,Wailea,0.788559708,0.746599879,0.04195983,414.617132,378.1606351,0.096404791,326.95,282.33,0.158042008,30,9,2017,MTD,9/30/2017
293,Lahaina - Kā‘anapali  - Kapalua,0.751708676,0.752248775,-0.0005401,243.3870536,243.9891934,-0.002467895,182.96,183.54,-0.003160074,30,9,2017,MTD,9/30/2017
294,Other Maui County,0.71679207,0.704202483,0.012589586,326.8243914,306.8772803,0.065000287,234.27,216.1,0.084081444,30,9,2017,MTD,9/30/2017
295,Maui County Luxury,0.664137566,0.714605193,-0.050467627,456.9634486,421.9944529,0.082866008,303.49,301.56,0.006400053,30,9,2017,MTD,9/30/2017
296,Maui County Upper Upscale & Upscale,0.768981079,0.741454373,0.027526706,231.955958,225.4593686,0.028814901,178.37,167.17,0.066997667,30,9,2017,MTD,9/30/2017
297,Island of Hawai‘i,0.669650635,0.632971014,0.03667962,206.1336249,208.0529332,-0.009225096,138.04,131.69,0.048219303,30,9,2017,MTD,9/30/2017
298,Kohala Coast,0.616016214,0.628389199,-0.012372985,282.178631,278.0161063,0.014972243,173.83,174.7,-0.004979966,30,9,2017,MTD,9/30/2017
299,Kaua‘i,0.733378552,0.708841959,0.024536593,236.470312,230.8129256,0.0245107,173.42,163.61,0.05995966,30,9,2017,MTD,9/30/2017
300,State of Hawai‘i,0.805583354,0.795584704,0.00999865,263.3027676,252.0175189,0.04477962,212.11,200.5,0.057905237,30,9,2017,YTD,9/30/2017
301,Luxury Class,0.76062164,0.743670579,0.016951062,518.7049292,493.986798,0.05003804,394.54,367.36,0.073987369,30,9,2017,YTD,9/30/2017
302,Upper Upscale Class,0.86216726,0.855644424,0.006522836,266.7731803,258.1549132,0.033384091,230,220.89,0.041242247,30,9,2017,YTD,9/30/2017
303,Upscale Class,0.758018909,0.741233981,0.016784927,195.7116703,189.3118534,0.033805685,148.35,140.32,0.05722634,30,9,2017,YTD,9/30/2017
304,Upper Midscale Class,0.816718346,0.813578857,0.003139488,159.8097729,153.6910495,0.039811839,130.52,125.04,0.043825976,30,9,2017,YTD,9/30/2017
305,Midscale & Economy Class,0.768495275,0.76663876,0.001856516,152.6394267,147.4395897,0.035267577,117.3,113.03,0.037777581,30,9,2017,YTD,9/30/2017
306,O‘ahu ,0.836819896,0.844924866,-0.00810497,232.6573413,226.058508,0.02919082,194.69,191,0.019319372,30,9,2017,YTD,9/30/2017
307,Waikīkī ,0.848675459,0.859462092,-0.010786633,228.2932348,225.0598084,0.014366965,193.75,193.43,0.001654345,30,9,2017,YTD,9/30/2017
308,Other O‘ahu ,0.766669044,0.756138318,0.010530726,261.2424494,232.9915843,0.121252728,200.29,176.17,0.136913209,30,9,2017,YTD,9/30/2017
309,O‘ahu Luxury,0.718201476,0.727217143,-0.009015667,481.3209175,455.750168,0.056106945,345.69,331.43,0.043025677,30,9,2017,YTD,9/30/2017
310,O‘ahu Upper Upscale ,0.895416184,0.894299736,0.001116448,257.5230062,255.2983884,0.008713795,230.59,228.31,0.009986422,30,9,2017,YTD,9/30/2017
311,O‘ahu Upscale,0.788130614,0.812548987,-0.024418372,193.6670512,192.8825126,0.004067443,152.63,156.73,-0.026159638,30,9,2017,YTD,9/30/2017
312,O‘ahu Upper Midscale,0.840264995,0.843264946,-0.002999951,152.7733173,148.2980107,0.030177793,128.37,125.05,0.02654938,30,9,2017,YTD,9/30/2017
313,O‘ahu Midscale & Economy,0.806194486,0.812117044,-0.005922558,134.1365396,133.8164775,0.002391799,108.14,108.67,-0.004877151,30,9,2017,YTD,9/30/2017
314,Maui County,0.777738972,0.763619548,0.014119424,349.8204232,324.885547,0.076749724,272.07,248.09,0.096658471,30,9,2017,YTD,9/30/2017
